电信频道,#genre#
CCTV-11HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240328_1/encoder/0/playlist.m3u8?CONTENTID=00000110240328_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-12HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240252_1/encoder/0/playlist.m3u8?CONTENTID=00000110240252_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-13HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240126_1/encoder/0/playlist.m3u8?CONTENTID=00000110240126_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-14HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240253_1/encoder/0/playlist.m3u8?CONTENTID=00000110240253_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-15HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240329_1/encoder/0/playlist.m3u8?CONTENTID=00000110240329_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-16HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?CONTENTID=00000110240128_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
高清电影HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240325_1/encoder/0/playlist.m3u8?CONTENTID=00000110240325_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
动作电影HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240324_1/encoder/0/playlist.m3u8?CONTENTID=00000110240324_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
家庭影院HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240323_1/encoder/0/playlist.m3u8?CONTENTID=00000110240323_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
广东卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240137_1/encoder/0/playlist.m3u8?CONTENTID=00000110240137_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
北京卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240129_1/encoder/0/playlist.m3u8?CONTENTID=00000110240129_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
天津卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240136_1/encoder/0/playlist.m3u8?CONTENTID=00000110240136_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
上海卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240242_1/encoder/0/playlist.m3u8?CONTENTID=00000110240242_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
重庆卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240012_1/encoder/0/playlist.m3u8?CONTENTID=00000110240012_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
黑龙江卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240131_1/encoder/0/playlist.m3u8?CONTENTID=00000110240131_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
吉林卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240046_1/encoder/0/playlist.m3u8?CONTENTID=00000110240046_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
辽宁卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240255_1/encoder/0/playlist.m3u8?CONTENTID=00000110240255_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
河北卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240317_1/encoder/0/playlist.m3u8?CONTENTID=00000110240317_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
河南卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240041_1/encoder/0/playlist.m3u8?CONTENTID=00000110240041_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
陕西卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240066_1/encoder/0/playlist.m3u8?CONTENTID=00000110240066_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
山西卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240065_1/encoder/0/playlist.m3u8?CONTENTID=00000110240065_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
山东卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240254_1/encoder/0/playlist.m3u8?CONTENTID=00000110240254_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
江苏卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240133_1/encoder/0/playlist.m3u8?CONTENTID=00000110240133_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
浙江卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240134_1/encoder/0/playlist.m3u8?CONTENTID=00000110240134_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
安徽卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240256_1/encoder/0/playlist.m3u8?CONTENTID=00000110240256_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
湖北卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240135_1/encoder/0/playlist.m3u8?CONTENTID=00000110240135_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
湖南卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240130_1/encoder/0/playlist.m3u8?CONTENTID=00000110240130_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
江西卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240049_1/encoder/0/playlist.m3u8?CONTENTID=00000110240049_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
福建卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240588_1/encoder/0/playlist.m3u8?CONTENTID=00000110240588_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
广西卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240037_1/encoder/0/playlist.m3u8?CONTENTID=00000110240037_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
海南卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240059_1/encoder/0/playlist.m3u8?CONTENTID=00000110240059_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
贵州卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240318_1/encoder/0/playlist.m3u8?CONTENTID=00000110240318_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
云南卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240082_1/encoder/0/playlist.m3u8?CONTENTID=00000110240082_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
四川卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240071_1/encoder/0/playlist.m3u8?CONTENTID=00000110240071_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
青海卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240063_1/encoder/0/playlist.m3u8?CONTENTID=00000110240063_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
甘肃卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240034_1/encoder/0/playlist.m3u8?CONTENTID=00000110240034_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
宁夏卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240061_1/encoder/0/playlist.m3u8?CONTENTID=00000110240061_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
西藏卫视HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240076_1/encoder/0/playlist.m3u8?CONTENTID=00000110240076_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
